issueid,dekaid,year,category,issueno,lawids,fact,decision,isact,isexternalelements,isinternalelement,isintent,isneglect,iscause,isjustify,isexcuse,isguilty,isattempt,isattemptimpossible
744,589/2502,2502,LB,1,"CC-288-00,CC-068-00",จำเลยไปทวงเงินที่ผู้ตายเป็นหนี้อยู่ ผู้ตายกลับต่อยจำเลยและติดตามเข้าไปทำร้ายซ้ำเติมอีก จำเลยอายุเพียง 19 ปี รูปร่างเล็กและเตี้ยกว่าผู้ตายไม่มีทางสู้แรงปะทะของผู้ตายได้จึงใช้มีดแทงไป 1 ที บังเอิญมีดไปถูกที่สำคัญเข้า ผู้ตายถึงแก่ความตาย,ดังนี้ เป็นการป้องกันตัวพอสมควรแก่เหตุ,1,1,1,1,-1,1,1,-1,0,-1,-1
745,257/2503,2503,LB,1,"CC-288-00,CC-068-00",จำเลยเป็นคนขาเป๋เดินไม่ถนัดร่างกายเตี้ยสูงเพียง 147 เซนติเมตร ผู้ตายเป็นคนรูปร่างสูงใหญ่ การที่ผู้ตายรูปร่างสูงใหญ่กว่าตรงเข้ามาจะฟังแล้วหกล้ม จำเลยจึงฟันผู้ตายหลานที เพราะกลัวผู้ตายจะฟันเอา,ดังนี้ การกระทำของจำเลยเป็นการป้องกันตัวพอสมควรแก่เหตุ,1,1,1,1,-1,1,1,-1,0,-1,-1
746,960/2503,2503,LB,1,"CC-288-00,CC-068-00",ผู้ตายเป็นคนร้ายขึ้นไปทำการลักทรัพย์บนเรือนจำเลย จำเลยเป็นเด็กหนุ่มอายุ 16 ปี อยู่เฝ้าบ้านตามลำพัง ได้พบคนร้ายในห้องเรือนมีอาวุธมีดปลายแหลมถือขู่จะทำร้ายทั้งเก็บทรัพย์บนเรือนพยายามจะพาเอาไปด้วย  จำเลยจึงเอาพร้าฟันผู้ตายซึ่งเป็นคนร้ายถึงแก่ความตาย,การกระทำของจำเลยเป็นการป้องกันพอสมควรแก่เหตุ,1,1,1,1,-1,1,1,-1,0,-1,-1
747,161/2504,2504,LB,1,"CC-288-00,CC-068-00",ผู้ตายถือขวานใหญ่บุกรุกเข้าไปจะทำร้ายจำเลยถึงในบ้าน จำเลยจึงฟันผู้ตายถูกไหล่ซ้าย ขวานตกจากมือ ผู้ตายก้มลงหยิบขวานและร้องเรียกให้พรรคพวกมาช่วย จำเลยจึงฟันซ้ำอีกหลายที เพราะเป็นขณะที่จำเลยกำลังตกอยู่ในระหว่างภยันตรายที่ใกล้จะถึงและร้ายแรงซึ่งได้เกิดขึ้นเฉพาะหน้า,การกระทำของจำเลยจึงเป็นการป้องกันพอสมควรแก่เหตุ,1,1,1,1,-1,1,1,-1,0,-1,-1
748,1010/2505,2505,LB,1,"CC-288-00,CC-068-00",น้องชายจำเลยชกต่อยกับหลานผู้ตายและน้องภริยาผู้ตาย ผู้ตายเป็นบุคคลภายนอกมิได้ร่วมชกต่อยด้วย  ถือท่อนเหล็กเข้าไปตีทำร้ายน้องชายจำเลย  จำเลยซึ่งมิได้ร่วมชกต่อยด้วยจึงวิ่งเข้าไปกันมิให้ผู้ตายตีน้องชายจำเลย  ผู้ตายเงื้อท่อนเหล็กจะตีจำเลย ๆ จึงเสือกมีดแทงไปทันทีถูกผู้ตาย 1 ที ถึงแก่ความตาย,ดังนี้การกระทำของจำเลยย่อมเป็นการป้องกันพอสมควรแก่เหตุ,1,1,1,1,-1,1,1,-1,0,-1,-1
749,1494/2508,2508,LB,1,"CC-288-00,CC-068-00",ผู้ตายชักมีดพกแทงจำเลย จำเลยวิ่งหนีไปรอบๆ บ้าน จำเลยสะดุดรากไม้ล้มลง ผู้ตายตามไปทันก็เอามีดพกแทงถูกที่ขาขวา 1 แผล จำเลยลุกวิ่งหนีเข้าบ้าน ผู้ตายตามไปอีก จำเลยก็หยิงมีดพร้าถือไว้และวิ่งหนีไป เหนื่อยก็หยุดหันสู้ผู้ตายโดยฟังไป 3 ที เพราะจำเลยหนีผู้ตายก็ยังตามไปเรื่อยไม่หยุดยั้ง การที่จำเลยใช้มีดพร้าฟันไป 3 ที โดยไม่รู้ว่าถูกตรงไหนบ้าง เพราะมืดแล้ว,ถือว่าได้กระทำไปพอสมควรแก่เหตุ เป็นการป้องกันโดยชอบด้วยกฎหมาย,1,1,1,1,-1,1,1,-1,0,-1,-1
750,879/2508,2508,LB,1,"CC-288-00,CC-080-00,CC-068-00",จำเลยที่ 2 ยิงจำเลยที่ 1 ก่อน จำเลยที่ 1 กลัวจำเลยที่ 2 จะยิงซ้ำ จึงยิงเอาบ้าง,ถือว่าเป็นการป้องกันตนพอสมควรแก่เหตุ,1,1,1,1,-1,1,1,-1,0,-1,-1
751,1465/2509,2509,LB,1,"CC-288-00,CC-068-00",ผู้ตายเดินเข้ามาหาจำเลย จำเลยถามว่ามองทำไม ผู้ตายชกหน้าจำเลย 1 ที จำเลยทรุดนั่ง ผู้ตายชักมีดเงื้อแทงจำเลยอีก จำเลยแย่งมีดได้ก็เอามีดนั้นแทงผู้ตาย 1 ที <discr>ดังนี้ แม้จำเลยจะแย่งมีดได้ ก็หาได้หมายความว่าอันตรายหมดไปไม่ ถือว่าจำเลยแทงผู้ตายในขณะที่การต่อสู้ยังมีอยู่</discr>,การกระทำของจำเลยจึงเป็นการป้องกันโดยชอบด้วยกฎหมาย,1,1,1,1,-1,1,1,-1,0,-1,-1
752,1697/2509,2509,LB,1,"CC-288-00,CC-068-00",ผู้ตายและจำเลยโต้เถียงกันด้วยเรื่องที่จำเลยทวงเงินจากผู้ตาย จนจำเลยออกปากไล่ผู้ตายซึ่งเป็นผู้ใหญ่กว่าให้ไปเสียให้พ้น ผู้ตายก็ลุกพรวดพราดชักมีดออกจากเอวห่างจำเลย 1 วา <discr>เช่นนั้น ย่อมเป็นเหตุการณ์ที่มีเหตุสมควรจะให้บุคคลในฐานะเช่นจำเลยตกใจกลัวว่าผู้ตายจะเข้ามาฟันหรือแทงจำเลย  ซึ่งเป็นการจวนตัวเป็นอันตรายที่ใกล้จะถึงตัวเต็มที</discr> จำเลยจึงชักปืนยิงไปที่ผู้ตาย 1 นัด โดยนั่งยิงอยู่ตรงนั้นเอง แล้วจำเลยก็วิ่งโดดนอกชานเรือนหนีไป,ดังนี้ เป็นการที่จำเลยป้องกันตัวพอสมควรแก่เหตุ ตามประมวลกฎหมายอาญา มาตรา 68 จำเลยจึงไม่มีความผิด,1,1,1,1,-1,1,1,-1,0,-1,-1
753,1741/2509,2509,LB,1,"CC-288-00,CC-068-00",ขณะที่ผู้ตายกำลังจับมือถือแขนคู่หมั้นของจำเลยอยู่นั้น พอผู้ตายเห็นจำเลย ผู้ตายก้มลงหยิบมีดพร้าที่วางใกล้ ๆ มีดนี้มีคมยาวประมาณ 12 นิ้ว ด้ามยาว 12 นิ้ว เป็นมีดขนาดเดียวกับที่จำเลยถือติดตัวมา <discr>คดีมีเหตุผลแสดงว่าผู้ตายจะทำร้ายจำเลยถึงตายได้ในทันทีที่ผู้ตายหยิบมีดได้</discr> แม้มือผู้ตายยังอยู่ห่างมีดประมาณ 1 คืบก็ตาม <discr>บุคคลที่อยู่ในฐานะอย่างจำเลยย่อมเข้าใจว่าผู้ตายจะทำร้ายตนแน่ พฤติการณ์เช่นนี้ถือได้ว่าเป็นภยันตรายที่ใกล้จะถึง</discr> จำเลยได้ฟันผู้ตายไปที่ซอกคอ  1 ที <discr>เป็นการกระทำเพียงพอกับความจำเป็นในการป้องกันผลร้ายที่จะเกิดขึ้นแก่จำเลย</discr>,เป็นการป้องกันพอสมควรแก่เหตุ,1,1,1,1,-1,1,1,-1,0,-1,-1
754,415/2509,2509,LB,1,"CC-288-00,CC-059P2-00",จำเลยใช้จอบซึ่งยาวประมาณ 1 วา คมจอบกว้างประมาณ 6 นิ้วฟุต ตีผู้ตายที่ศีรษะโดยแรง มีบาดแผล 2 แห่ง คือ ที่กลางกระหม่อมกว้าง 13 เซ็นติเมตร ยาว 18 เซ็นติเมตร กระโหลกศีรษะแตก และที่ขมับขวาแผลกว้าง 2 เซ็นติเมตร ยาว 9 เซ็นติเมตร กระโหลกศีรษะร้าว <discr>ตามลักษณะเช่นนี้ เห็นได้ว่าจำเลยย่อมเล็งเห็นผลแห่งการกระทำได้ว่าอาจทำให้ถึงตายได้ จึงฟังได้ว่าจำเลยมีเจตนาฆ่า</discr>,จำเลยมีความผิดฐานฆ่าผู้ตายโดยเจตนา,1,1,1,1,-1,1,0,0,1,0,-1
755,415/2509,2509,LB,2,"CC-288-00,CC-068-00",ผู้ตายกับจำเลยด่าว่ากันแล้วผู้ตายใช้จอบตีจำเลยแต่ผิด จอบติดดิน ผู้ตายต้องใช้เวลาดึงจอบประมาณ 1 นาที <discr>ขณะที่จอบผู้ตายติดดินอยู่นี้ จำเลยมีโอกาสที่จะหลีกเลี่ยงไปได้ถ้าจำเลยไม่สมัครใจจะวิวาทกับผู้ตาย</discr> การที่จำเลยใช้จอบตีผู้ตายโดยแรงเช่นนี้ <discr>แสดงว่าจำเลยมีเจตนาจะทำร้ายผู้ตายอันเนื่องมาจากการด่าว่ากันอย่างรุนแรง และเกิดโมโหขึ้นมา ทั้งจำเลยและผู้ตายต่างถือจอบเป็นอาวุธพร้อมที่จะทำร้ายกันได้ พอฝ่ายผู้ตายตีจำเลยผิด จำเลยก็ตีผู้ตายได้ทันที จึงเป็นเรื่องสมัครใจวิวาทกัน</discr>,จะอ้างว่ากระทำไปเพื่อป้องกันสิทธิหาได้ไม่,1,1,1,1,-1,1,0,0,1,0,-1
756,1073/2510,2510,LB,1,"CC-288-00,CC-068-00",จำเลยถามผู้ตายเรื่องชำเราเด็กและทวงเงิน ผู้ตายใช้มีดจะแทงจำเลย จำเลยใช้ไม้ตีไปที่หน้าผู้ตาย 1 ที ผู้ตายล้มลงแล้วโงเงขึ้นมาจะแทงจำเลยอีก จำเลยจึงตีถูกที่หน้าผู้ตายอีก 1 ที ผู้ตายล้มลงศรีษะฟาดกับหินถึงแก่ความตาย,เป็นการป้องกันพอสมควรแก่เหตุ,1,1,1,1,-1,1,1,-1,0,-1,-1
757,32/2510,2510,LB,1,"CC-290-00,CC-068-00",ผู้ตายเรียนหนังสืออยู่ที่วัดละหารซึ่งจำเลยเป็นครูอยู่ ทั้งเป็นเด็กหญิงและเป็นหลานของจำเลย มีบ้านอยู่ติดกับบ้านของจำเลย เมื่อจำเลยขึงลวดเส้นเดียวและเล็กไว้ในบริเวณบ้านและปล่อยกระแสไฟฟ้าให้แล่นไปตามลวดนั้น เมื่อเวลาจวนสว่างผู้ตายเข้าไปในเขตรั้วบ้านจำเลย และมาถูกสายไฟฟ้าของจำเลยเข้าถึงแก่ความตาย ,ดังนี้ จึงถือไม่ได้ว่าการกระทำของจำเลยดังกล่าวเป็นการป้องกันสิทธิของตนโดยชอบด้วยกฎหมาย จำเลยจึงมีความผิดฐานทำให้คนตายโดยไม่มีเจตนา,1,1,1,1,-1,1,0,0,1,0,-1
758,443/2510,2510,LB,1,"CC-288-00,CC-068-00",จำเลยโกรธแค้นผู้ตายที่ลักกระบือของจำเลย วันเกิดเหตุ ผู้ตายเห็นจำเลยเดินผ่านไป จำเลยจึงกลับบ้านเอาปืนลูกซองออกติดตามผู้ตายไปถึงที่เกิดเหตุ ได้พูดกันถึงเรื่องที่กระบือหาย แล้วเกิดโต้เถียงกันขึ้น จำเลยได้ปลดปืนจากไหล่เตรียมยิงอยู่ก่อนแล้ว พอผู้ตายล้วงปืนออกมา จำเลยก็ยิงไปทันที,พฤติการณ์ดังนี้ถือไม่ได้ว่าจำเลยยิงผู้ตายเพื่อป้องกันตัว จำเลยย่อมมีความผิดตามประมวลกฎหมายอาญา มาตรา 288,1,1,1,1,-1,1,0,0,1,0,-1
759,822/2510,2510,LB,1,"CC-288-00,CC-068-00",ผู้ตายเป็นฝ่ายก่อเหตุ จะเข้าทำร้ายจำเลย จำเลยยิงปืนลงพื้นดิน 1 นัด เพื่อขู่ให้ผู้ตายกลัว แต่ผู้ตายก็หาหยุดยั้งไม่ เข้ากอดปล้ำ  ใช้แขนรัดคอและแย่งปืนจำเลย จำเลยจึงยิงผู้ตายไป ขณะนั้นเป็นเวลาชุลมุน ย่อมไม่สามารถรู้ได้ว่า ยิงนัดแรกถูกผู้ตายตรงไหนจึงยิงซ้ำอีก 1 นัด มิฉะนั้นจำเลยอาจถูกผู้ตายรัดคอจนหายใจไม่ออก จำเลยตัวเล็กกว่าทั้งอายุมากกว่าผู้ตาย ๆ อาจแย่งปืนของจำเลยแล้วใช้ปืนนั้นยิงจำเลยก็ได้,การกระทำของจำเลยเป็นการป้องกันภยันตรายพอสมควรแก่เหตุ,1,1,1,1,-1,1,1,-1,0,-1,-1
760,962/2510,2510,LB,1,"CC-288-00,CC-068-00",จำเลยยิงผู้ตาย เพราะผู้ตายจะเข้าทำร้ายจำเลยก่อน แม้จะมีผู้ร้องห้ามแล้วผู้ตายก็ไม่ฟัง จำเลยจึงยิงเอา แล้วผู้ตายหลบไปบังต้นมะขาม ส่วนจำเลยถอยไปทางต้นมะพร้าวข้างคู แล้วผู้ตายกลับถือมีดวิ่งแฉลบไปมาทางจำเลย พอไปห่างจำเลยประมาณ 2-3 วา จำเลยก็ยิงผู้ตายอีก 2 หรือ 3 นัด ถึงแก่ความตาย <discr>ดังนี้ ศาลฎีกาวินิจฉัยว่า ที่จำเลยยิงผู้ตายในตอนแรกนั้นเป็นการป้องกันตัวพอสมควรแก่เหตุ เพราะฝ่ายผู้ตายมีมีดจะเข้าทำร้ายจำเลยก่อนในขณะที่อยู่ประจันหน้ากันไม่มีทางหลีกเลี่ยง ส่วนตอนหลังนั้นแม้ว่าจำเลยจะยิงไป 3 นัดแล้วผู้ตายก็ยังไม่หยุดยั้ง กลับถือมีดเข้าหาจำเลยอีก ตอนนี้เป็นเหตุการณ์ฉุกละหุกเฉพาะหน้า ภาวะเช่นนี้จำเลยย่อมไม่มีเวลาจะคิดเป็นอย่างอื่นนอกจากจะป้องกันตัวให้พ้นจากการถูกทำร้าย และระยะที่ผู้ตายวิ่งเข้ามานั้นเป็นระยะใกล้ ถ้าจำเลยไม่ยิงไปก่อนก็อาจถูกผู้ตายทำร้ายได้</discr>,เห็นว่าเป็นการกระทำที่พอสมควรแก่เหตุ จำเลยไม่มีผิดตามประมวลกฎหมายอาญา มาตรา 68,1,1,1,1,-1,1,1,-1,0,-1,-1
761,1430/2511,2511,LB,1,CC-288-00,เมื่อคดีฟังได้ว่าจำเลยเพียงยกขวดแตกขึ้นรับเมื่อผู้ตายโถมเข้าแทงจำเลย ทำให้พับแขนของผู้ตายถูกขวดเข้าเองเป็นบาดแผล  และผู้ตายถึงแก่ความตายในเวลาต่อมา ,เป็นการป้องกันโดยชอบ จำเลยไม่มีความผิด,1,1,1,1,-1,1,1,-1,0,-1,-1
762,1430/2511,2511,LB,2,"CC-295-00,CC-072-00",แต่สำหรับเหตุการณ์ตอนที่ผู้ตายแทงผู้อื่นพลาดมาถูกจำเลยเมื่อจำเลยเข้าห้ามการทะเลาะวิวาท แล้วจำเลยใช้ขวดสุราตีศีรษะผู้ตายบาดเจ็บนั้น <discr>ยังถือไม่ได้ว่าเป็นการป้องกันโดยชอบ เพราะภยันตรายได้ผ่านพ้นไปแล้ว  แต่การกระทำของจำเลยเนื่องมาจากการที่ผู้ตายข่มเหงโดยเหตุอันไม่เป็นธรรม</discr>,จึงต้องถือว่าจำเลยมีความผิดฐานทำร้ายร่างกายโดยเหตุบันดาลโทสะ,1,1,1,1,-1,1,0,0,1,0,-1
763,1780/2511,2511,LB,1,CC-290-00,เมื่อพฤติการณ์แห่งคดีฟังได้ว่า สำหรับเหตุการณ์ตอนหลังจำเลยถือเหล็กขูดชาร์ฟสามเหลี่ยมปลายแหลมวิ่งไล่แทงนายถึงถูกบริเวณก้นกบ 1 ที  ครั้นนายอุทัยไปถึงจำเลยจำเลยก็หันมาแทงนายอุทัย 1 ที ถูกที่โคนขาซ้าย แล้วจำเลยก็วิ่งหนีไป  ส่วนนายอุทัยวิ่งไปได้ 3-4 ก้าวก็ล้มและไปตายที่โรงพยาบาลปราจีนบุรีเพราะโลหิตออกมาก <discr>ต้องถือว่าการกระทำของจำเลยในส่วนที่เกี่ยวกับนายถึงเป็นการทำร้ายร่างกายถึงบาดเจ็บ  และในส่วนที่เกี่ยวกับนายอุทัยแม้เหล็กขูดชาร์ฟจะใช้เป็นอาวุธร้ายได้จำเลยก็ได้แทงนายอุทัยผู้ตายส่งๆ ไปทีเดียวโดยไม่มีโอกาสได้เลือกแทงตรงไหน  เผอิญไปถูกเส้นโลหิตใหญ่ที่ไปเลี้ยงส่วนขาโลหิตออกมากจึงถึงตาย  เช่นนี้ยังถือไม่ได้ว่าจำเลยมีเจตนาจะทำร้ายนายอุทัยให้ถึงตาย</discr>,จำเลยคงมีผิดเพียงฐานฆ่าคนโดยไม่เจตนาเท่านั้น,1,1,1,1,-1,1,0,0,1,0,-1
764,1864 -  1865/2511,2511,LB,1,"CC-288-00,CC-068-00",บุตรเขยจำเลยก่อเหตุวิวาททำร้ายบุตรชายผู้ตายโดยใช้มีดพร้าฟัน ผู้ตายเข้าแย่งมีดพร้าไว้ได้  แล้วใช้มีดพร้านั้นฟันบุตรเขยจำเลย  จำเลยซึ่งเป็นพ่อตาเอาปืนมานั่งคอยดูอยู่  เห็นบุตรเขยถือมีดพร้ามาดักฟันบุตรชายผู้ตายก็ไม่ห้ามปราม  กลับเข้าไปเอาปืนยิงผู้ตายในระยะห่าง 1 ศอกเศษ  <discr>ดังนี้ พฤติการณ์ของจำเลยจึงเป็นฝ่ายเข้าช่วยเหลือบุตรเขยตน ทั้งการกระทำของผู้ตายก็เป็นการกระทำเพื่อป้องกันบุตรชายของตนด้วย</discr>,จำเลยจึงจะยกขึ้นอ้างว่าการกระทำของจำเลยเป็นการกระทำเพื่อป้องกันภยันตรายให้แก่บุตรเขยหาได้ไม่,1,1,1,1,-1,1,0,0,1,0,-1
765,440/2511,2511,LB,1,"CC-288-00,CC-068-00",จำเลยนั่งทุบใบจอบอยู่ในบริเวณบ้านของจำเลยดี ๆ ผู้ตายเมาสุรามาท้าทายจำเลย  เตะจำเลยและใช้เหล็กแหลมแทงจำเลยถึง 2 ครั้ง  แม้จะไม่ถูก  ผู้ตายยังไล่ตามแทงติดตัวอยู่  จำเลยจึงใช้จอบซึ่งถืออยู่ในมือฟันผู้ตายไป 2 ที,ดังนี้  จึงถือว่าเป็นการกระทำเพื่อป้องกันชีวิตของจำเลย  อันเป็นการป้องกันสิทธิของจำเลยจากภยันตรายที่ผู้ตายก่อขึ้นพอสมควรแก่เหตุ  จำเลยจึงยังไม่ควรมีความผิด,1,1,1,1,-1,1,1,-1,0,-1,-1
766,541/2511,2511,LB,1,"CC-288-00,CC-068-00",ผู้ตายก่อเหตุขึ้นก่อน เมื่อถูกจำเลยต่อว่าและสงสัยว่าผู้ตายลักปลา โดยได้ด่าว่าจำเลยและแสดงอาการจะเข้าทำร้ายจำเลยแม้จำเลยถ่อเรือหนี ผู้ตายถ่อเรือไล่ตามจะทำร้ายจำเลยอีก ครั้นตามไปทันผู้ตายได้ใช้ไม้ถ่อยาวประมาณ 1 วาเศษตีจำเลยก่อน จำเลยยกไม้ถ่อขึ้นรับ ผู้ตายตีจำเลยอีกประมาณ 20 ที จำเลยจึงตีตอบไปบ้าง ขณะตีกันจำเลยถูกผู้ตายตีที่ศีรษะด้านบนบวมปูดถูกหลังมือและนิ้วบวม หนังถลอกและเมื่อผู้ตายตกลงไปยืนในน้ำซึ่งตั้งหลักได้ดีกว่าอยู่บนเรือได้ตีจำเลยอีกอย่างรุนแรงจนปลายไม้ถ่อของจำเลยหักหลุดกระเด็น และตีจำเลยจนเรือจำเลยล่ม จำเลยตกลงไปในน้ำถ่อหลุดจากมือ จำเลยจึงหยิบมีดสปริงซึ่งใบมีดยาวเท่านิ้วชี้ออกจากกระเป๋ากางเกงที่มีอยู่แทงผู้ตายไป <discr>ดังนี้ เมื่อผู้ตายก่อเหตุขึ้นก่อนทั้งจำเลยไม่มีโอกาสจะหลีกเลี่ยงจากการถูกทำร้ายได้และไม่มีโอกาสจะเลือกอาวุธอื่นใดมาใช้ได้ทันการที่จำเลยแทงผู้ตายก็เพราะขณะนั้นจำเลยกำลังตกอยู่ในระหว่างภยันตรายร้ายแรงซึ่งเกิดเฉพาะหน้าอันเป็นเวลากระทันหันและพัวพันกันอยู่ ถ้าจำเลยไม่แทงผู้ตายจำเลยอาจถูกผู้ตายใช้ไม้ถ่อตีและแทงทำร้ายถึงตายได้ พฤติการณ์ดังกล่าวมีเหตุผลอันสมควร</discr>,การกระทำของจำเลยจึงเป็นการป้องกันตัวที่พอสมควรแก่เหตุโดยชอบด้วยกฎหมายตามประมวลกฎหมายอาญา มาตรา 68,1,1,1,1,-1,1,1,-1,0,-1,-1
767,656/2511,2511,LB,1,"CC-288-00,CC-068-00",ผู้ตายเมาสุราได้ก่อเหตุขึ้นโดยตีจำเลยด้วยขวดก่อน จนขวดแตกแล้วจะแทงจำเลยด้วยขวดที่แตกนั้นอีก จึงถูกจำเลยแทงด้วยเหล็กขูดชาร์ฟ,ถือได้ว่าเป็นการป้องกันตัวพอสมควรแก่เหตุ,1,1,1,1,-1,1,1,-1,0,-1,-1
768,1542/2512,2512,LB,1,"CC-288-00,CC-068-00",ฝ่ายผู้ตายได้มาเรียกจำเลยไปหา แล้วพวกผู้ตายฟันข้างหลังจำเลย 1 ที แล้วผู้ตายฟันหลังจำเลยอีก 1 ที จำเลยหันไปเห็นผู้ตายถือดาบจ้องจะฟันซ้ำอีก จำเลยจึงแทงไปทางผู้ตาย 1 ที ถูกที่หน้าอกถึงแก่ความตาย ,ดังนี้ การกระทำของจำเลยจึงเป็นการป้องกันตัวแต่พอสมควรแก่เหตุ,1,1,1,1,-1,1,1,-1,0,-1,-1
769,155/2512,2512,LB,1,"CC-288-00,CC-068-00,CC-062P1-00",เจ้าหน้าที่ตำรวจมีหมายค้นและหมายจับไปจับกุมจำเลยที่บ้านในเวลาวิกาล (ประมาณ 24 นาฬิกา) ได้ปีนบ้านและรื้อฝาบ้านจำเลยเข้าไป  จำเลยสำคัญผิดคิดว่าโจรเข้าปล้นบ้านจึงใช้ปืนยิงตำรวจบาดเจ็บ <discr>พฤติการณ์ของจำเลยจึงมีลักษณะเป็นการป้องกันสิทธิของตนและของผู้อื่น และป้องกันทรัพย์ของจำเลยให้พ้นจากภยันตรายอันเกิดจากการประทุษร้ายอันละเมิดต่อกฎหมายและเป็นการป้องกันพอสมควรแก่เหตุ</discr>,เป็นการป้องกันโดยชอบด้วยกฎหมายไม่มีความผิดตามประมวลกฎหมายอาญา มาตรา 68,1,1,1,1,-1,1,1,-1,0,-1,-1
770,246/2512,2512,LB,1,"CC-288-00,CC-080-00,CC-068-00",จำเลยแทงผู้เสียหายในขณะผู้เสียหายใช้มือทั้งสองเค้นคอจำเลยอยู่ จำเลยว่าหายใจไม่ออก <discr>จำเลยไม่มีทางจะหลีกเลี่ยง ถ้าหากจำเลยไม่ใช้มีดแทงผู้เสียหาย จำเลยอาจถึงแก่ความตายได้</discr> เพราะผู้เสียหายรูปร่างใหญ่โตแข็งแรงกว่าจำเลย ฉะนั้น การที่จำเลยใช้มีดแทงผู้เสียหาย,จึงเป็นการป้องกันตัวพอสมควรแก่เหตุ,1,1,1,1,-1,1,1,-1,0,-1,-1
771,253/2512,2512,LB,1,"CC-288-00,CC-068-00,CC-062P1-00",ผู้ตายได้บุกรุกเข้าไปในห้องนอนอันเป็นเคหสถานของจำเลยยามวิกาล อันเป็นการละเมิดกฎหมาย ทำให้จำเลยสำคัญผิดว่าผู้ตายเป็นขโมยหรือคนร้าย เข้าไปทำการประทุษร้ายต่อทรัพย์หรือร่างกายภริยาจำเลยจึงใช้ดุ้นฟืนตีผู้ตายไป 1 ที <discr>การที่จำเลยใช้ดุ้นฟืนซึ่งโดยสภาพไม่ใช่อาวุธร้ายแรงตีผู้ตายไป</discr>ในขณะนั้นเพียงทีเดียวโดยไม่เจาะจง <discr>เป็นลักษณะที่กระทำพอสมควรแก่เหตุถือได้ว่าการกระทำของจำเลยเป็นการป้องกันโดยชอบด้วยกฎหมาย ตามประมวลกฎหมายอาญา มาตรา 68 ประกอบกับมาตรา 62 ด้วย</discr>,จำเลยไม่มีความผิด,1,1,1,1,-1,1,1,-1,0,-1,-1
772,51/2512,2512,LB,1,"CC-288-00,CC-068-00,CC-062P1-00",สามีนอนอยู่ชั้นบนของเรือน ภริยานอนอยู่ชั้นล่างต่างคนก็หลับไปแล้ว ต่อมาสุนัขเห่า ภริยาจึงตื่นไปแอบฝาห้องดูคนร้ายที่ห้องนอนของสามี สามีตื่นภายหลัง มองเห็นคนอยู่ที่ฝาห้องตะคุ่มๆ เข้าใจว่าเป็นคนร้าย เพราะมืด จึงหยิบมีดฟันไป 1 ที ภริยาถึงแก่ความตาย <discr>ดังนี้ถือว่าเป็นภยันตรายที่ใกล้จะถึง สามีมีสิทธิป้องกันได้โดยไม่ต้องพูดจาไต่ถาม หรือรอให้ผู้นั้นแสดงกิริยาว่าจะเข้ามาประทุษร้ายก่อนและสามีไม่รู้ว่าคนที่เข้าใจว่าเป็นคนร้ายจะมีอาวุธร้ายแรงหรือไม่สามีฟันไปทีเดียว</discr>,ถือได้ว่ากระทำไปพอสมควรแก่เหตุและยังไม่พอถือว่าการกระทำของสามีเกิดขึ้นด้วยความสำคัญผิดในข้อเท็จจริงโดยประมาท ตามมาตรา 62 วรรคสอง,1,1,1,1,-1,1,1,-1,0,-1,-1
773,865/2512,2512,LB,1,"CC-288-00,CC-068-00",ผู้ตายโกรธจำเลยเรื่องเบื่อหมูของผู้ตาย ได้มาต่อว่าจำเลยและจะให้ใช้ราคา จำเลยไม่ยอมใช้ ผู้ตายจึงท้าให้จำเลยลงจากเรือน จำเลยไม่ลง ผู้ตายจึงก้าวขึ้นบันไดไปสองขั้น และฟันจำเลยแต่ไม่ถูก ผู้ตายจึงก้าวขึ้นบันไดขั้นที่สามต่อไปอีกทั้ง ๆ ที่จำเลยได้ร้องห้ามแล้วว่า ถ้าขึ้นมาจะแทง แต่ผู้ตายก็ไม่เชื่อฟัง จำเลยจึงใช้หลาวไม้ไผ่แทงผู้ตาย 1 ที ถูกหน้าท้อง และผู้ตายถึงแก่ความตายเพราะพิษบาดแผลที่ถูกแทง <discr>ดังนี้ ย่อมเป็นการกระทำเพื่อป้องกันสิทธิของตนให้พ้นอันตรายซึ่งเกิดจากการประทุษร้ายอันละเมิดต่อกฎหมาย และเป็นภยันตรายที่ใกล้จะถึง การกระทำของจำเลยพอสมควรแก่เหตุ</discr>,เป็นการป้องกันโดยชอบด้วยกฎหมาย จำเลยไม่มีความผิดตามประมวลกฎหมายอาญา มาตรา 68,1,1,1,1,-1,1,1,-1,0,-1,-1
